Block SCALES
1 10000	# UV scale [GeV]
1 2 2 2 0.000000	# lq1(1,2,2,2)
1 2 2 3 0.000000	# lq1(1,2,2,3)
1 2 3 1 0.000000	# lq1(1,2,3,1)
1 2 3 2 0.000000	# lq1(1,2,3,2)
1 2 3 3 0.000000	# lq1(1,2,3,3)
1 3 1 1 0.000000	# lq1(1,3,1,1)
1 3 1 2 0.000000	# lq1(1,3,1,2)
1 3 1 3 0.000000	# lq1(1,3,1,3)
1 3 2 1 0.000000	# lq1(1,3,2,1)
1 3 2 2 0.000000	# lq1(1,3,2,2)
1 3 2 3 0.000000	# lq1(1,3,2,3)
1 3 3 1 0.000000	# lq1(1,3,3,1)
1 3 3 2 0.000000	# lq1(1,3,3,2)
1 3 3 3 0.000000	# lq1(1,3,3,3)
2 2 1 2 0.000000	# lq1(2,2,1,2)
2 2 1 3 0.000000	# lq1(2,2,1,3)
2 2 2 3 0.000000	# lq1(2,2,2,3)
2 3 1 1 0.000000	# lq1(2,3,1,1)
2 3 1 2 0.000000	# lq1(2,3,1,2)
2 3 1 3 0.000000	# lq1(2,3,1,3)
2 3 2 1 0.000000	# lq1(2,3,2,1)
2 3 2 2 0.000000	# lq1(2,3,2,2)
2 3 2 3 0.000000	# lq1(2,3,2,3)
2 3 3 1 0.000000	# lq1(2,3,3,1)
2 3 3 2 0.000000	# lq1(2,3,3,2)
2 3 3 3 0.000000	# lq1(2,3,3,3)
3 3 1 2 0.000000	# lq1(3,3,1,2)
3 3 1 3 0.000000	# lq1(3,3,1,3)
3 3 2 3 0.000000	# lq1(3,3,2,3)
Block WCLQ3
1 1 1 1 0.000000	# lq3(1,1,1,1)
1 1 1 2 0.000000	# lq3(1,1,1,2)
1 1 1 3 -0.003734	# lq3(1,1,1,3)
1 1 2 2 0.000000	# lq3(1,1,2,2)
1 1 2 3 0.000000	# lq3(1,1,2,3)
1 1 3 3 0.000000	# lq3(1,1,3,3)
1 2 1 1 0.000000	# lq3(1,2,1,1)
1 2 1 2 0.000000	# lq3(1,2,1,2)
1 2 1 3 0.000000	# lq3(1,2,1,3)
1 2 2 1 0.000000	# lq3(1,2,2,1)
1 2 2 2 0.000000	# lq3(1,2,2,2)
1 2 2 3 0.000000	# lq3(1,2,2,3)
1 2 3 1 0.000000	# lq3(1,2,3,1)
1 2 3 2 0.000000	# lq3(1,2,3,2)
1 2 3 3 0.000000	# lq3(1,2,3,3)
1 3 1 1 0.000000	# lq3(1,3,1,1)
1 3 1 2 0.000000	# lq3(1,3,1,2)
1 3 1 3 0.000000	# lq3(1,3,1,3)
1 3 2 1 0.000000	# lq3(1,3,2,1)
1 3 2 2 0.000000	# lq3(1,3,2,2)
1 3 2 3 0.000000	# lq3(1,3,2,3)
1 3 3 1 0.000000	# lq3(1,3,3,1)
